date,market,period
2013-11-01,US,0.08
2013-11-01,NL,0.203
2013-11-04,GB,0.21
2013-11-04,US,0.109999
2013-11-04,NL,0.340999
2013-11-05,GB,0.18
2013-11-05,US,0.099
2013-11-05,NL,0.226499
2013-11-06,GB,0.28
2013-11-06,US,0.099
2013-11-06,NL,0.266
2013-11-07,GB,0.149999
2013-11-07,US,0.079999
2013-11-07,NL,0.153
2013-11-08,GB,0.188999
2013-11-08,US,0.089999
2013-11-08,NL,0.201999
2013-11-11,GB,0.27
2013-11-11,US,0.159
2013-11-11,NL,0.458499
2013-11-12,GB,0.22
2013-11-12,US,0.12
2013-11-12,NL,0.344999
2013-11-13,GB,0.219999
2013-11-13,US,0.099999
2013-11-13,NL,0.233999
2013-11-14,GB,0.17
2013-11-14,US,0.08
2013-11-14,NL,0.234
2013-11-15,GB,0.219999
2013-11-15,US,0.118
2013-11-15,NL,0.280999
2013-11-18,GB,0.22
2013-11-18,US,0.109
2013-11-18,NL,0.281
2013-11-19,GB,0.209999
2013-11-19,US,0.089999
2013-11-19,NL,0.276999
2013-11-20,GB,0.14
2013-11-20,US,0.06
2013-11-20,NL,0.204999
2013-11-21,GB,0.21
2013-11-21,US,0.09
2013-11-21,NL,0.235999
2013-11-22,GB,0.169999
2013-11-22,US,0.119
2013-11-22,NL,0.249999
2013-11-25,GB,0.22
2013-11-25,US,0.1
2013-11-25,NL,0.295
2013-11-26,GB,0.158999
2013-11-26,US,0.099
2013-11-26,NL,0.297
2013-11-27,GB,0.324
2013-11-27,US,0.119999
2013-11-27,NL,0.328
