date,market1,market2,lag
2009-08-10,NL,GB,6000
2009-08-10,GB,NL,-6000
2009-08-10,NL,US,2000
2009-08-10,US,NL,-2000
2009-08-24,US,GB,2000
2009-08-24,GB,US,-2000
2009-08-24,NL,GB,14000
2009-08-24,GB,NL,-14000
2009-08-24,NL,US,19000
2009-08-24,US,NL,-19000
2009-09-21,US,GB,-2000
2009-09-21,GB,US,2000
2009-09-21,NL,GB,0
2009-09-21,GB,NL,0
2009-09-21,NL,US,4000
2009-09-21,US,NL,-4000
2009-10-05,US,GB,-4000
2009-10-05,GB,US,4000
2009-10-05,NL,GB,6000
2009-10-05,GB,NL,-6000
2009-10-05,NL,US,14000
2009-10-05,US,NL,-14000
2009-10-19,US,GB,-16000
2009-10-19,GB,US,16000
2009-10-19,NL,GB,0
2009-10-19,GB,NL,0
2009-10-19,NL,US,-68000
2009-10-19,US,NL,68000
2009-11-02,US,GB,0
2009-11-02,GB,US,0
2009-11-02,NL,GB,-2000
2009-11-02,GB,NL,2000
2009-11-02,NL,US,2000
2009-11-02,US,NL,-2000
2009-11-16,US,GB,0
2009-11-16,GB,US,0
2009-11-16,NL,GB,4000
2009-11-16,GB,NL,-4000
2009-11-16,NL,US,8000
2009-11-16,US,NL,-8000
2009-11-30,US,GB,0
2009-11-30,GB,US,0
2009-11-30,NL,GB,34000
2009-11-30,GB,NL,-34000
2009-11-30,NL,US,0
2009-11-30,US,NL,0
2009-12-14,US,GB,-4000
2009-12-14,GB,US,4000
2009-12-14,NL,GB,4000
2009-12-14,GB,NL,-4000
2009-12-14,NL,US,0
2009-12-14,US,NL,0
2009-12-29,US,GB,0
2009-12-29,GB,US,0
2009-12-29,NL,GB,12000
2009-12-29,GB,NL,-12000
2009-12-29,NL,US,16000
2009-12-29,US,NL,-16000
2010-01-13,US,GB,-46000
2010-01-13,GB,US,46000
2010-01-13,NL,GB,4000
2010-01-13,GB,NL,-4000
2010-01-13,NL,US,12000
2010-01-13,US,NL,-12000
2010-01-27,US,GB,-2000
2010-01-27,GB,US,2000
2010-01-27,NL,GB,6000
2010-01-27,GB,NL,-6000
2010-01-27,NL,US,4000
2010-01-27,US,NL,-4000
2010-02-10,US,GB,2000
2010-02-10,GB,US,-2000
2010-02-10,NL,GB,4000
2010-02-10,GB,NL,-4000
2010-02-10,NL,US,2000
2010-02-10,US,NL,-2000
2010-02-24,US,GB,0
2010-02-24,GB,US,0
2010-02-24,NL,GB,0
2010-02-24,GB,NL,0
2010-02-24,NL,US,2000
2010-02-24,US,NL,-2000
2010-03-10,US,GB,0
2010-03-10,GB,US,0
2010-03-10,NL,GB,18000
2010-03-10,GB,NL,-18000
2010-03-10,NL,US,24000
2010-03-10,US,NL,-24000
2010-03-24,US,GB,0
2010-03-24,GB,US,0
2010-03-24,NL,GB,16000
2010-03-24,GB,NL,-16000
2010-03-24,NL,US,2000
2010-03-24,US,NL,-2000
2010-04-08,US,GB,4000
2010-04-08,GB,US,-4000
2010-04-08,NL,GB,6000
2010-04-08,GB,NL,-6000
2010-04-08,NL,US,2000
2010-04-08,US,NL,-2000
2010-04-22,US,GB,2000
2010-04-22,GB,US,-2000
2010-04-22,NL,GB,2000
2010-04-22,GB,NL,-2000
2010-04-22,NL,US,2000
2010-04-22,US,NL,-2000
2010-05-06,US,GB,0
2010-05-06,GB,US,0
2010-05-06,NL,GB,0
2010-05-06,GB,NL,0
2010-05-06,NL,US,0
2010-05-06,US,NL,0
2010-05-20,US,GB,0
2010-05-20,GB,US,0
2010-05-20,NL,GB,4000
2010-05-20,GB,NL,-4000
2010-05-20,NL,US,0
2010-05-20,US,NL,0
2010-06-03,US,GB,2000
2010-06-03,GB,US,-2000
2010-06-03,NL,GB,6000
2010-06-03,GB,NL,-6000
2010-06-03,NL,US,0
2010-06-03,US,NL,0
2010-06-17,US,GB,8000
2010-06-17,GB,US,-8000
2010-06-17,NL,GB,2000
2010-06-17,GB,NL,-2000
2010-06-17,NL,US,6000
2010-06-17,US,NL,-6000
2010-07-01,US,GB,0
2010-07-01,GB,US,0
2010-07-01,NL,GB,4000
2010-07-01,GB,NL,-4000
2010-07-01,NL,US,0
2010-07-01,US,NL,0
2010-07-15,US,GB,4000
2010-07-15,GB,US,-4000
2010-07-15,NL,GB,0
2010-07-15,GB,NL,0
2010-07-15,NL,US,2000
2010-07-15,US,NL,-2000
2010-07-29,US,GB,0
2010-07-29,GB,US,0
2010-07-29,NL,GB,4000
2010-07-29,GB,NL,-4000
2010-07-29,NL,US,0
2010-07-29,US,NL,0
2010-08-12,US,GB,0
2010-08-12,GB,US,0
2010-08-12,NL,GB,2000
2010-08-12,GB,NL,-2000
